FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,BBSRTSL020,ARC_LENGTH,RTENO,RTENAME,RTELENG,Shape_Leng,x,y
757.000000000000000,755.000000000000000,0.000000000000000,0.000000000000000,0.373780000000000,248.000000000000000,37405.000000000000000,14041.000000000000000,BARSTOW,41003.599999999998545,0.373775366091000,-117.150555842000003,34.632726532900001
756.000000000000000,752.000000000000000,0.000000000000000,0.000000000000000,0.033810000000000,249.000000000000000,3598.599999999999909,14041.000000000000000,BARSTOW,41003.599999999998545,0.033812672994200,-117.310574301000003,34.558264946900003
785.000000000000000,787.000000000000000,0.000000000000000,0.000000000000000,0.406030000000000,251.000000000000000,40696.099999999998545,14043.000000000000000,CADIZ,40696.099999999998545,0.406026127266000,-115.650945574000005,34.539377262400002
673.000000000000000,662.000000000000000,0.000000000000000,0.000000000000000,0.508020000000000,264.000000000000000,51262.699999999997090,14056.000000000000000,DARWIN,51262.699999999997090,0.508016497781000,-117.495569802999995,36.298345005900003
636.000000000000000,626.000000000000000,0.000000000000000,0.000000000000000,0.420480000000000,267.000000000000000,42516.300000000002910,14058.000000000000000,EUREKA VAL,42516.300000000002910,0.420476989812000,-117.612809393999996,37.192100600200000
710.000000000000000,695.000000000000000,0.000000000000000,0.000000000000000,0.374580000000000,268.000000000000000,39517.699999999997090,14059.000000000000000,INYOKERN,43561.699999999997090,0.374578075256000,-117.712289272000007,35.468580442700002
711.000000000000000,712.000000000000000,0.000000000000000,0.000000000000000,0.040010000000000,269.000000000000000,4044.000000000000000,14059.000000000000000,INYOKERN,43561.699999999997090,0.040010442740500,-117.634078922000000,35.336190518599999
727.000000000000000,744.000000000000000,0.000000000000000,0.000000000000000,0.413110000000000,270.000000000000000,42534.000000000000000,14060.000000000000000,LENWOOD,42534.000000000000000,0.413110393414000,-117.250943058999994,34.941065922000000
749.000000000000000,734.000000000000000,0.000000000000000,0.000000000000000,0.413940000000000,271.000000000000000,43092.599999999998545,14062.000000000000000,IVANPAH,43092.599999999998545,0.413939226664000,-115.327993610999997,35.390450289400000
690.000000000000000,703.000000000000000,0.000000000000000,0.000000000000000,0.389630000000000,272.000000000000000,40424.400000000001455,14063.000000000000000,TRONA,40424.400000000001455,0.389632253609000,-117.393488094000006,35.650330603400000
708.000000000000000,705.000000000000000,0.000000000000000,0.000000000000000,0.411420000000000,273.000000000000000,40324.900000000001455,14064.000000000000000,TECOPA,40324.900000000001455,0.411421393288000,-116.103930210000001,35.845003620800000
745.000000000000000,730.000000000000000,0.000000000000000,0.000000000000000,0.429960000000000,274.000000000000000,44273.599999999998545,14065.000000000000000,SODA LAKE,44273.599999999998545,0.429962275833000,-116.090268886000004,35.228641416700000
762.000000000000000,773.000000000000000,0.000000000000000,0.000000000000000,0.408080000000000,276.000000000000000,43499.199999999997090,14067.000000000000000,ESSEX,43499.199999999997090,0.408080647781000,-115.362081320000001,34.875318220799997
763.000000000000000,776.000000000000000,0.000000000000000,0.000000000000000,0.463950000000000,277.000000000000000,50984.000000000000000,14068.000000000000000,FLYNN,50984.000000000000000,0.463953111919000,-115.649353567000006,34.770528734199999
801.000000000000000,808.000000000000000,0.000000000000000,0.000000000000000,0.486720000000000,278.000000000000000,46691.500000000000000,14069.000000000000000,IRON MTNS,46691.500000000000000,0.164701669174000,-115.488398449000002,34.104135508900001
765.000000000000000,746.000000000000000,0.000000000000000,0.000000000000000,0.417950000000000,296.000000000000000,46266.800000000002910,14085.000000000000000,LUCERNE VAL,46266.800000000002910,0.417947728241000,-116.973768070999995,34.644847761699999
791.000000000000000,797.000000000000000,0.000000000000000,0.000000000000000,0.488890000000000,297.000000000000000,47635.099999999998545,14086.000000000000000,HAVASU LAKE,47635.099999999998545,0.488890278289000,-114.608122034999994,34.500145733700002
816.000000000000000,799.000000000000000,0.000000000000000,0.000000000000000,0.494990000000000,298.000000000000000,51193.800000000002910,14088.000000000000000,COTTONWOOD,51193.800000000002910,0.474733814176000,-115.848511228999996,33.852928759800001
726.000000000000000,739.000000000000000,0.000000000000000,0.000000000000000,0.475300000000000,303.000000000000000,48419.699999999997090,14094.000000000000000,FT IRWIN,48419.699999999997090,0.475295951308000,-116.782045832999998,35.153190853200002
741.000000000000000,751.000000000000000,0.000000000000000,0.000000000000000,0.399850000000000,321.000000000000000,41252.199999999997090,14109.000000000000000,CIMA,41252.199999999997090,0.399846649094000,-115.461741560999997,35.262997858900000
747.000000000000000,753.000000000000000,0.000000000000000,0.000000000000000,0.404980000000000,326.000000000000000,39977.599999999998545,14112.000000000000000,PEARBLOSSOM,39977.599999999998545,0.404977326529000,-117.817079696999997,34.468098558000001
639.000000000000000,652.000000000000000,0.000000000000000,0.000000000000000,0.404460000000000,328.000000000000000,43147.400000000001455,14116.000000000000000,LONE PINE,43147.400000000001455,0.403288532431000,-118.071735005999997,36.650294665099999
684.000000000000000,670.000000000000000,0.000000000000000,0.000000000000000,0.467210000000000,339.000000000000000,51317.800000000002910,14124.000000000000000,DEATH VALLEY,51317.800000000002910,0.467210239574000,-116.862151936999993,36.233023001200003
688.000000000000000,675.000000000000000,0.000000000000000,0.000000000000000,0.396850000000000,360.000000000000000,42415.599999999998545,14139.000000000000000,GREENWATER V,42415.599999999998545,0.396851639012000,-116.610784050000007,36.204580268400001
