RE|REG|A0000904|1000748|97096|FCC|12/12/1996|1|RESOLVED NEPA BASED ON COMMISSION LETTER DATED 09/25/96, REFERENCE 2000C1-IL, CALL SIGN KNLF230, FILE NUMBER 50028-CW-ML-96.
RE|REG|A1059679|1000767|97097|FCC|12/12/1996|1|CORRECTED OVERALL HEIGHT AND FAA INFO INCLUDING FAA STUDY NUMBER BASED ON PHONE CALL WITH D. HEANEY ON 12/12/96 AND NEW STUDY LOCATED IN FAA PENDING FILES FOR CORRECTION OF HEIGHT.
RE|REG|A1192600|1000775|97098|FCC|09/20/1996|1|CORRECTED GROUND ELEVATION AND OVERALL AGL HEIGHT, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO REFLECT THE TENTHS.
RE|REG|A1337212|1000776|97099|FCC|09/10/1996|1|CORRECTED FAA EXPIRATION DATE.
RE|REG|A1355095|1000801|97102|FCC|09/20/1996|1|ADDED FAA INFORMATION BASED ON FAA PENDING RECORD FOR FAA STUDY 96-AGL-1466-OE ISSUED 5/10/96.
RE|REG|A0000961|1000803|97104|FCC|09/20/1996|1|CORRECTED ELEV DUE TO APPLICANT ROUNDING TO NEAREST WHOLE METER INSTEAD OF TO THE TENTH.
RE|REG|A1373009|1000832|97108|FCC|09/23/1996|1|ADDED CONSTRUCTION DATE PER PHONE 9/23/96 WITH LEE SICA.  CORRECTED OVERALL HEIGHT DUE TO APPLICANT ROUNDING TO NEAREST WHOLE METER INSTEAD OF TO THE TENTH.
RE|REG|A0226861|1000833|97109|FCC|08/29/2002|1|ADDED CONSTRUCTION DATE PER PHONE 9/23/96 WITH LEE SICA.  CORRECTED OVERALL HEIGHT DUE TO APPLICANT ROUNDING TO NEAREST WHOLE METER INSTEAD OF TO THE TENTH.
RE|REG|A0001004|1000843|97112|FCC|12/06/2002|1|CORRECTED SUPPORT AND OVERALL STRUCTURE HEIGHTS, SUBMITTED ROUNDED TO THE NEAREST WHOLE NUMBER, TO INCLUDE THE TENTHS.  ADDED LOCATION ADDRESS PER FAX.  CORRECTED 854 MINUTES PER TELCON WITH ESTHER HILLIARD. CLEARED STRUCTURE BASED ON CLEARANCE FILE COPY.
RE|REG|A0001015|1000852|97115|FCC|09/23/1996|1|CORRECTED LOC DESCRIPTION PER LTR DATED 9/17/96.  CORRECTED HEIGHTS DUE TO APPLICANT ROUNDING TO NEAREST WHOLE METER INSTEAD OF TO THE TENTH.
RE|REG|A0234987|1000861|97117|FCC|07/02/2002|1|OWNERSHIP INFO UPDATED AS A RESULT OF MOD OF 'O' APPLICATION PROCESSED
RE|REG|A1373010|1000863|97118|FCC|08/07/1998|1|OWNERSHIP INFO UPDATED AS A RESULT OF MOD OF 'O' APPLICATION PROCESSED
RE|REG|A1196668|1000885|97121|FCC|02/26/1997|0|SUPERSEDED TO CORRECT LOCATION STREET PER LTR RECEIVED 2/11/97 FROM PETER FEINBERG.
RE|REG|A1196668|1000885|97121|FCC|12/26/1996|2|APPLICATION RESUBMITTED WITH NEW FAA CLEARANCE. FAA CLEARANCE DATA CORRECTED BASED ON COPY SUBMITTED WITH APPLICATION. CLEARED STRUCTURE WITH FCC PARAGRAPHS BASED ON OLD TOWER FILE RECORD 46208.
RE|REG|A1196668|1000885|97121|FCC|12/26/1996|3|APPLICATION RESUBMITTED WITH NEW FAA CLEARANCE. FAA CLEARANCE DATA CORRECTED BASED ON COPY SUBMITTED WITH APPLICATION. CLEARED STRUCTURE WITH FCC PARAGRAPHS BASED ON OLD TOWER FILE RECORD 46208.
